"Time","cu"
2022-01-05 20:24:25,0.115
2022-01-05 20:24:26,0.115
2022-01-05 20:24:27,0.115
2022-01-05 20:24:28,0.115
2022-01-05 20:24:29,0.115
2022-01-05 20:24:30,0.115
2022-01-05 20:24:31,0.115
2022-01-05 20:24:32,0.115
2022-01-05 20:24:33,0.115
2022-01-05 20:24:34,0.115
2022-01-05 20:24:35,0.115
2022-01-05 20:24:36,0.115
2022-01-05 20:24:37,0.115
2022-01-05 20:24:38,0.115
2022-01-05 20:24:39,0.115
2022-01-05 20:24:40,0.115
2022-01-05 20:24:41,0.115
2022-01-05 20:24:42,0.115
2022-01-05 20:24:43,0.115
2022-01-05 20:24:44,0.115
2022-01-05 20:24:45,0.115
2022-01-05 20:24:46,0.115
2022-01-05 20:24:47,0.115
2022-01-05 20:24:48,0.115
2022-01-05 20:24:49,0.115
2022-01-05 20:24:50,0.115
2022-01-05 20:24:51,0.112
2022-01-05 20:24:52,0.112
2022-01-05 20:24:53,0.112
2022-01-05 20:24:54,0.112
2022-01-05 20:24:55,0.112
2022-01-05 20:24:56,0.112
2022-01-05 20:24:57,0.112
2022-01-05 20:24:58,0.112
2022-01-05 20:24:59,0.112
2022-01-05 20:25:00,0.112

